id;nombre;categoria;precio;imagen
7622300637231;JUGO TANG MULTIFRUTA X 34 GR;;85.000;
7622300655556;JUGO CLIGHT MARACUYÁ DE BRASIL;;85.000;
7622300655600;JUGO CLIGHT UVA DE ITALIA;;85.000;
7622300655648;JUGO CLIGHT MELON DE GRECIA;;85.000;
7622300659011;JUGO TANG NARANJA/POMELO/LIMON;;85.000;
7622300724160;FIDEOS TERRABUSI SPAGHETTI X 500 GR;;58.000;
7622300724184;FIDEOS TERRABUSI FORATINI X 500GR;;58.000;
7622300724245;FIDEOS TERRABUSI TIRABUZON X 500 GR;;59.000;
7622300724269;FIDEOS TERRABUSI MOSTACHOL X 500 GR;;59.000;
7622300724368;FIDEOS TERRABUSI TALLARIN X 500 GR;;58.000;
7622300724436;FIDEOS TERRABUSI DEDALITOS X 500 GR;;59.000;
7622300798659;JUGO CLIGHT MANZANA DELICIOSA STICK X 3;;85.000;
7622300798703;JUGO CLIGHT PERA  STICK X 3;;85.000;
7622300798796;JUGO CLIGHT NARANJA STICK X 3;;85.000;
7622300798826;JUGO CLIGHT  ANANA STICK X 3;;85.000;
7622300799830;JUGO CLIGHT HIDRADE NARANJA X 3;;85.000;
7622300799861;JUGO CLIGHT HIDRADE LIMA LIMON 3 X 16.5G;;85.000;
7622300799892;JUGO CLIGHT HIDRADE POMELO/NARANJA X 3;;85.000;
7622300826925;JUGO TANG MANZANA X 20 GR;;85.000;
7622300826987;JUGO TANG LIMONADA ;;85.000;
7622300827168;JUGO TANG NARANJA/BANANA/FRUTILLA;;85.000;
7622300827229;JUGO TANG NARANJA FRUTILLA Y KIWI;;85.000;
7622300841904;JUGO CLIGHT LIMONADA ROSA X 10 G;;85.000;
7622300841935;JUGO CLIGHT FRUTILLA X 8 G;;20.000;
7622300844424;JUGO TANG NARANJA ROJA X 20 GR;;85.000;
7622300856106;JUGO CLIGHT MANDARINA X 9GR;;85.000;
7622300857844;JUGO TANG NARANJA SUAVE X 20 GR;;85.000;
7622300858223;JUGO CLIGHT MANGO;;85.000;
7622300859756;JUGO CLIGHT MANGO-PERA X 6.5GR;;85.000;
7622300861131;JUGO VERAO ANANA X 10GR;;230.000;
7622300863043;JUGO CLIGHT MANZANA DELICIOSA X 7.5GR;;85.000;
7622300864088;JUGO TANG FRESH NARANJA X 25 GR;;85.000;
7622300864118;JUGO TANG FRESH LIMONADA X 25 GR;;85.000;
7622300864149;JUGO TANG FRESH FRUTILLA X 25 GR;;85.000;
7622300864170;JUGO TANG FRESH DURAZNO X 25 GR;;85.000;
7622300865535;GELATINA ROYAL FRUTILLA X 40 GR;;142.000;
7622300865566;GELATINA ROYAL DURAZNO X 40 GR;;107.000;
